,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,h3_level_4
420,2021-01-31,181.11460675992998,53.229146952972215,158.26635137964766,181.11460675992998,181.11460675992998,-72.54340661895272,-72.54340661895272,-72.54340661895272,-72.54340661895272,-72.54340661895272,-72.54340661895272,0.0,0.0,0.0,108.57120014097727,8429ac9ffffffff
421,2021-02-28,181.30853275234819,90.31175285936601,196.51165888761616,181.30853275234819,181.30853275234819,-34.898598869757116,-34.898598869757116,-34.898598869757116,-34.898598869757116,-34.898598869757116,-34.898598869757116,0.0,0.0,0.0,146.40993388259108,8429ac9ffffffff
422,2021-03-31,181.52323652966834,137.0743947674273,242.27161948491278,181.52308786175573,181.5233395832875,9.353740868776653,9.353740868776653,9.353740868776653,9.353740868776653,9.353740868776653,9.353740868776653,0.0,0.0,0.0,190.87697739844498,8429ac9ffffffff
423,2021-04-30,181.73101437868783,170.37335985965288,276.8084535447434,181.72763766684906,181.73395861861232,38.41909849365704,38.41909849365704,38.41909849365704,38.41909849365704,38.41909849365704,38.41909849365704,0.0,0.0,0.0,220.15011287234486,8429ac9ffffffff
424,2021-05-31,181.94571815600798,190.2827375491885,297.13518631096497,181.93849174685118,181.95551317778657,62.171126202239336,62.171126202239336,62.171126202239336,62.171126202239336,62.171126202239336,62.171126202239336,0.0,0.0,0.0,244.1168443582473,8429ac9ffffffff
425,2021-06-30,182.15349600502753,236.559171602228,341.05451766961096,182.14032031246242,182.16936144893128,107.17376889506282,107.17376889506282,107.17376889506282,107.17376889506282,107.17376889506282,107.17376889506282,0.0,0.0,0.0,289.32726490009037,8429ac9ffffffff
426,2021-07-31,182.36819978234766,224.08108846594058,327.52469672504225,182.34895552632867,182.3954516200359,93.21068504524568,93.21068504524568,93.21068504524568,93.21068504524568,93.21068504524568,93.21068504524568,0.0,0.0,0.0,275.57888482759336,8429ac9ffffffff
427,2021-08-31,182.5829035596678,169.42716184233342,267.08789731978993,182.55638816451298,182.61948614044337,34.84541785143583,34.84541785143583,34.84541785143583,34.84541785143583,34.84541785143583,34.84541785143583,0.0,0.0,0.0,217.42832141110364,8429ac9ffffffff
428,2021-09-30,182.79068140868728,124.34560633484814,222.14995098198955,182.75366198580235,182.8371924363144,-8.88698178558878,-8.88698178558878,-8.88698178558878,-8.88698178558878,-8.88698178558878,-8.88698178558878,0.0,0.0,0.0,173.9036996230985,8429ac9ffffffff
429,2021-10-31,183.00538518600743,57.96171560240693,162.02424653805377,182.95763260446222,183.06477415301484,-73.13957892493644,-73.13957892493644,-73.13957892493644,-73.13957892493644,-73.13957892493644,-73.13957892493644,0.0,0.0,0.0,109.86580626107099,8429ac9ffffffff
430,2021-11-30,183.21316303502698,32.93633322682685,140.9496563364465,183.16004162806345,183.27986981811992,-96.43572407372675,-96.43572407372675,-96.43572407372675,-96.43572407372675,-96.43572407372675,-96.43572407372675,0.0,0.0,0.0,86.77743896130023,8429ac9ffffffff
431,2021-12-31,183.42786681234713,54.95290649501602,160.94964246707053,183.3613422438061,183.50368020869524,-75.22222274439486,-75.22222274439486,-75.22222274439486,-75.22222274439486,-75.22222274439486,-75.22222274439486,0.0,0.0,0.0,108.20564406795228,8429ac9ffffffff
432,2022-01-31,183.64257058966726,63.19674215479826,164.9803615947113,183.56469367421096,183.73038311223385,-69.03666333465085,-69.03666333465085,-69.03666333465085,-69.03666333465085,-69.03666333465085,-69.03666333465085,0.0,0.0,0.0,114.6059072550164,8429ac9ffffffff
433,2022-02-28,183.8364965820855,99.23955487703562,202.33172674640744,183.75116273901077,183.93555328707356,-34.278887245637755,-34.278887245637755,-34.278887245637755,-34.278887245637755,-34.278887245637755,-34.278887245637755,0.0,0.0,0.0,149.55760933644774,8429ac9ffffffff
434,2022-03-31,184.05120035940564,139.7175332427316,242.21492758045068,183.95079636470615,184.16628419278157,9.96263304234589,9.96263304234589,9.96263304234589,9.96263304234589,9.96263304234589,9.96263304234589,0.0,0.0,0.0,194.01383340175153,8429ac9ffffffff
435,2022-04-30,184.25897820842513,172.32338441592236,271.67607522463305,184.14675385009997,184.388165841758,34.837240403427856,34.837240403427856,34.837240403427856,34.837240403427856,34.837240403427856,34.837240403427856,0.0,0.0,0.0,219.09621861185298,8429ac9ffffffff
436,2022-05-31,184.4736819857453,192.54126534104893,294.6992926916631,184.34493303347932,184.6201539324736,58.5066825519429,58.5066825519429,58.5066825519429,58.5066825519429,58.5066825519429,58.5066825519429,0.0,0.0,0.0,242.9803645376882,8429ac9ffffffff
437,2022-06-30,184.6814598347648,239.7836026337949,346.1258498276925,184.54242349136274,184.84367382568647,110.27331229425431,110.27331229425431,110.27331229425431,110.27331229425431,110.27331229425431,110.27331229425431,0.0,0.0,0.0,294.95477212901915,8429ac9ffffffff
438,2022-07-31,184.89616361208493,226.81272544039658,323.6025999384027,184.73825671067428,185.07412086614517,94.43649027641095,94.43649027641095,94.43649027641095,94.43649027641095,94.43649027641095,94.43649027641095,0.0,0.0,0.0,279.3326538884959,8429ac9ffffffff
439,2022-08-31,185.11086738940512,166.54426293203358,273.00397966863426,184.9415592649067,185.30171202296268,35.55361696096605,35.55361696096605,35.55361696096605,35.55361696096605,35.55361696096605,35.55361696096605,0.0,0.0,0.0,220.66448435037117,8429ac9ffffffff
440,2022-09-30,185.3186452384246,126.1234323296673,234.07721056122227,185.13286677750614,185.51857105560023,-5.773988663184004,-5.773988663184004,-5.773988663184004,-5.773988663184004,-5.773988663184004,-5.773988663184004,0.0,0.0,0.0,179.5446565752406,8429ac9ffffffff
441,2022-10-31,185.53334901574476,59.07530353168167,162.08814075529563,185.33283030039675,185.74584051628244,-75.19089242912595,-75.19089242912595,-75.19089242912595,-75.19089242912595,-75.19089242912595,-75.19089242912595,0.0,0.0,0.0,110.34245658661881,8429ac9ffffffff
442,2022-11-30,185.74112686476425,34.51979540735844,136.37826198706833,185.52915968787536,185.96599070234245,-99.43751552647925,-99.43751552647925,-99.43751552647925,-99.43751552647925,-99.43751552647925,-99.43751552647925,0.0,0.0,0.0,86.30361133828501,8429ac9ffffffff
443,2022-12-31,185.95583064208444,59.294724338963555,163.4154098850851,185.7317495533104,186.20280988857743,-76.54810793531936,-76.54810793531936,-76.54810793531936,-76.54810793531936,-76.54810793531936,-76.54810793531936,0.0,0.0,0.0,109.40772270676507,8429ac9ffffffff
444,2023-01-31,186.1705344194046,67.72241264022622,173.56358111242537,185.9243558333463,186.43073548734037,-65.46176336476367,-65.46176336476367,-65.46176336476367,-65.46176336476367,-65.46176336476367,-65.46176336476367,0.0,0.0,0.0,120.70877105464092,8429ac9ffffffff
445,2023-02-28,186.36446041182276,98.73313001222685,204.99754848177938,186.10293531073057,186.6332621755616,-33.72003687047579,-33.72003687047579,-33.72003687047579,-33.72003687047579,-33.72003687047579,-33.72003687047579,0.0,0.0,0.0,152.64442354134698,8429ac9ffffffff
446,2023-03-31,186.57916418914292,142.7184926566947,247.20861257212908,186.3007607477544,186.8756113091886,10.474725672282617,10.474725672282617,10.474725672282617,10.474725672282617,10.474725672282617,10.474725672282617,0.0,0.0,0.0,197.05388986142555,8429ac9ffffffff
447,2023-04-30,186.7869420381624,167.61868787288492,271.7744699870405,186.48735319230659,187.10781772208927,31.20615740305743,31.20615740305743,31.20615740305743,31.20615740305743,31.20615740305743,31.20615740305743,0.0,0.0,0.0,217.99309944121984,8429ac9ffffffff
448,2023-05-31,187.00164581548256,190.39641806050705,291.1345344862654,186.685876825916,187.33655332703484,54.94203940048408,54.94203940048408,54.94203940048408,54.94203940048408,54.94203940048408,54.94203940048408,0.0,0.0,0.0,241.94368521596664,8429ac9ffffffff
449,2023-06-30,187.20942366450208,247.6664369036693,353.1115240100048,186.8804658336673,187.55693817587147,113.44498299161623,113.44498299161623,113.44498299161623,113.44498299161623,113.44498299161623,113.44498299161623,0.0,0.0,0.0,300.65440665611834,8429ac9ffffffff
450,2023-07-31,187.42412744182224,232.30131363497068,333.4574413866446,187.08128483260458,187.79029716528356,95.64653616534642,95.64653616534642,95.64653616534642,95.64653616534642,95.64653616534642,95.64653616534642,0.0,0.0,0.0,283.0706636071686,8429ac9ffffffff
451,2023-08-31,187.6388312191424,173.96087624686254,276.96075960027906,187.2769837639432,188.02534416031955,36.26349260314526,36.26349260314526,36.26349260314526,36.26349260314526,36.26349260314526,36.26349260314526,0.0,0.0,0.0,223.90232382228766,8429ac9ffffffff
452,2023-09-30,187.84660906816188,139.56806713254142,238.733149535409,187.46126593144663,188.24727727303198,-2.735917625775448,-2.735917625775448,-2.735917625775448,-2.735917625775448,-2.735917625775448,-2.735917625775448,0.0,0.0,0.0,185.11069144238644,8429ac9ffffffff
453,2023-10-31,188.06131284548204,56.40822418345584,163.82499887349027,187.657362840766,188.48664038971984,-77.32605551287752,-77.32605551287752,-77.32605551287752,-77.32605551287752,-77.32605551287752,-77.32605551287752,0.0,0.0,0.0,110.73525733260452,8429ac9ffffffff
454,2023-11-30,188.26909069450156,32.31018700201434,139.6244190969108,187.83899273136475,188.71632229857988,-102.39869414050696,-102.39869414050696,-102.39869414050696,-102.39869414050696,-102.39869414050696,-102.39869414050696,0.0,0.0,0.0,85.8703965539946,8429ac9ffffffff
455,2023-12-31,188.4837944718217,59.966460067380055,164.15232546408703,188.03205056968275,188.9532243814452,-77.75602593923203,-77.75602593923203,-77.75602593923203,-77.75602593923203,-77.75602593923203,-77.75602593923203,0.0,0.0,0.0,110.72776853258968,8429ac9ffffffff
456,2024-01-31,188.69849824914186,76.34427628210926,179.40853118376353,188.2248761595959,189.20173126879996,-61.823214906318256,-61.823214906318256,-61.823214906318256,-61.823214906318256,-61.823214906318256,-61.823214906318256,0.0,0.0,0.0,126.87528334282361,8429ac9ffffffff
457,2024-02-29,188.89935016986072,102.8340533134923,202.3069907579647,188.397017910808,189.42757886255603,-35.57672348391878,-35.57672348391878,-35.57672348391878,-35.57672348391878,-35.57672348391878,-35.57672348391878,0.0,0.0,0.0,153.32262668594194,8429ac9ffffffff
458,2024-03-31,189.11405394718088,145.01622699240647,252.59487717403974,188.5936458212177,189.67231016324175,8.648532077322399,8.648532077322399,8.648532077322399,8.648532077322399,8.648532077322399,8.648532077322399,0.0,0.0,0.0,197.76258602450326,8429ac9ffffffff
459,2024-04-30,189.32183179620037,178.6938696006643,278.82876563028015,188.78378859979148,189.89880828965474,41.94677416483941,41.94677416483941,41.94677416483941,41.94677416483941,41.94677416483941,41.94677416483941,0.0,0.0,0.0,231.26860596103978,8429ac9ffffffff
460,2024-05-31,189.53653557352052,207.4650493329598,305.1009321800024,188.97867474355098,190.1336008518354,65.93110821600301,65.93110821600301,65.93110821600301,65.93110821600301,65.93110821600301,65.93110821600301,0.0,0.0,0.0,255.46764378952355,8429ac9ffffffff
461,2024-06-30,189.74431342254002,242.28256403645142,348.3030368920335,189.1611407847742,190.3648193923682,104.14964955522049,104.14964955522049,104.14964955522049,104.14964955522049,104.14964955522049,104.14964955522049,0.0,0.0,0.0,293.8939629777605,8429ac9ffffffff
462,2024-07-31,189.95901719986017,228.7331639464381,335.35604402876817,189.35502133550844,190.60218740902158,91.97137136731426,91.97137136731426,91.97137136731426,91.97137136731426,91.97137136731426,91.97137136731426,0.0,0.0,0.0,281.9303885671744,8429ac9ffffffff
463,2024-08-31,190.17372097718032,170.8288278553815,278.9495655836703,189.53619790417505,190.83611508531828,34.140503254479434,34.140503254479434,34.140503254479434,34.140503254479434,34.140503254479434,34.140503254479434,0.0,0.0,0.0,224.31422423165975,8429ac9ffffffff
464,2024-09-30,190.38149882619982,128.31781437670557,230.44111953197574,189.71735652211186,191.07728611798984,-12.072478920333142,-12.072478920333142,-12.072478920333142,-12.072478920333142,-12.072478920333142,-12.072478920333142,0.0,0.0,0.0,178.30901990586668,8429ac9ffffffff
465,2024-10-31,190.59620260351997,65.07205173306072,169.75902185297332,189.903386467368,191.31196270877797,-71.17526838433379,-71.17526838433379,-71.17526838433379,-71.17526838433379,-71.17526838433379,-71.17526838433379,0.0,0.0,0.0,119.42093421918618,8429ac9ffffffff
466,2024-11-30,190.8039804525395,45.3890258305843,150.98601237178224,190.0891945666623,191.55780374273334,-93.39794330231686,-93.39794330231686,-93.39794330231686,-93.39794330231686,-93.39794330231686,-93.39794330231686,0.0,0.0,0.0,97.40603715022263,8429ac9ffffffff
467,2024-12-31,191.01868422985964,68.11988567132467,167.39862572261663,190.26584622387156,191.79654136458828,-73.77961489742786,-73.77961489742786,-73.77961489742786,-73.77961489742786,-73.77961489742786,-73.77961489742786,0.0,0.0,0.0,117.23906933243178,8429ac9ffffffff
468,2025-01-31,191.2333880071798,67.7453189280634,170.337514323156,190.46038351637324,192.0364693630219,-72.54340661896963,-72.54340661896963,-72.54340661896963,-72.54340661896963,-72.54340661896963,-72.54340661896963,0.0,0.0,0.0,118.68998138821017,8429ac9ffffffff
469,2025-02-28,191.427313999598,104.47755938936605,208.86251963743362,190.6300579575429,192.25956313371006,-34.89859886974638,-34.89859886974638,-34.89859886974638,-34.89859886974638,-34.89859886974638,-34.89859886974638,0.0,0.0,0.0,156.5287151298516,8429ac9ffffffff
470,2025-03-31,191.64201777691815,146.80534588597814,252.0085109715657,190.8217099012548,192.49735821680554,9.353740868789062,9.353740868789062,9.353740868789062,9.353740868789062,9.353740868789062,9.353740868789062,0.0,0.0,0.0,200.9957586457072,8429ac9ffffffff
